index,raw_tick_uint32,intensity_int16,endianness
277,4294962265,0,LE
278,3963813888,-1,LE
279,0,-5075,LE
280,65535,0,LE
281,4294962198,0,LE
282,3959422976,-1,LE
283,0,-5143,LE
284,65535,0,LE
285,4294962130,0,LE
286,3954966528,-1,LE
287,0,-5211,LE
288,65535,0,LE
289,4294962063,0,LE
290,3950510080,-1,LE
291,0,-5278,LE
292,65535,0,LE
293,4294961996,0,LE
294,3946184704,-1,LE
295,0,-5344,LE
296,65535,0,LE
297,4294961930,0,LE
298,3941924864,-1,LE
299,0,-5408,LE
300,65535,0,LE
301,4294961867,0,LE
302,3937861632,-1,LE
303,0,-5469,LE
304,65535,0,LE
305,4294961807,0,LE
306,3933863936,-1,LE
307,0,-5529,LE
308,65535,0,LE
309,4294961747,0,LE
310,3929931776,-1,LE
311,0,-5590,LE
312,65535,0,LE
313,4294961686,0,LE
314,3925934080,-1,LE
315,0,-5652,LE
316,65535,0,LE
317,4294961623,0,LE
318,3921739776,-1,LE
319,0,-5717,LE
320,65535,0,LE
321,4294961556,0,LE
322,3917217792,-1,LE
323,0,-5789,LE
324,65535,0,LE
325,4294961482,0,LE
326,3912171520,-1,LE
327,0,-5868,LE
328,65535,0,LE
329,4294961400,0,LE
330,3906600960,-1,LE
331,0,-5957,LE
332,65535,0,LE
333,4294961306,0,LE
334,3900243968,-1,LE
335,0,-6058,LE
336,65535,0,LE
337,4294961201,0,LE
338,3893035008,-1,LE
339,0,-6173,LE
340,65535,0,LE
341,4294961081,0,LE
342,3884843008,-1,LE
343,0,-6303,LE
344,65535,0,LE
345,4294960946,0,LE
346,3875667968,-1,LE
347,0,-6448,LE
348,65535,0,LE
349,4294960797,0,LE
350,3865640960,-1,LE
351,0,-6605,LE
352,65535,0,LE
353,4294960636,0,LE
354,3854827520,-1,LE
355,0,-6773,LE
356,65535,0,LE
357,4294960465,0,LE
358,3843424256,-1,LE
359,0,-6949,LE
360,65535,0,LE
361,4294960288,0,LE
362,3831758848,-1,LE
363,0,-7129,LE
364,65535,0,LE
365,4294960107,0,LE
366,3819896832,-1,LE
367,0,-7308,LE
368,65535,0,LE
369,4294959928,0,LE
370,3808296960,-1,LE
371,0,-7484,LE
372,65535,0,LE
