index,t_start_min,t_end_min,rt_min,apex_intensity,area,pct_area,measure_value
1,2.4608,2.6817,2.5133,0.0878456011414528,0.00549256,46.366,0.00549256
2,3.1600,3.2317,3.1967,0.0027014000806957483,9.94898e-05,0.840,9.94898e-05
3,16.0008,16.1233,16.0583,0.0007474999874830246,5.10544e-05,0.431,5.10544e-05
4,18.3692,18.4425,18.4058,0.00023799999326001847,9.2555e-06,0.078,9.2555e-06
5,18.9608,19.0633,19.0117,0.0004875999875366688,2.77227e-05,0.234,2.77227e-05
6,21.8367,22.0792,21.9517,0.056610699743032455,0.00580501,49.004,0.00580501
7,23.8192,23.9533,23.8808,0.004993699956685305,0.000360927,3.047,0.000360927
