time_AU,intensity
0.000000000000000000e+00,0.000000000000000000e+00
8.333333457509676905e-04,0.000000000000000000e+00
1.666666691501935381e-03,-4.999999873689375818e-06
2.500000037252903071e-03,-9.999999747378751636e-06
3.333333383003870762e-03,-1.479999991715885699e-05
4.166666728754838019e-03,-1.940000038302969187e-05
5.000000074505806143e-03,-2.390000008745118976e-05
5.833333420256773399e-03,-2.820000008796341717e-05
6.666666766007741524e-03,-3.229999856557697058e-05
7.500000111758708780e-03,-3.619999915827065706e-05
8.333333457509676037e-03,-3.999999898951500654e-05
9.166666803260644161e-03,-4.370000169728882611e-05
1.000000014901161229e-02,-4.709999848273582757e-05
1.083333349476258041e-02,-5.049999890616163611e-05
1.166666684051354680e-02,-5.370000144466757774e-05
1.250000018626451492e-02,-5.669999882229603827e-05
1.333333353201548305e-02,-5.969999983790330589e-05
1.416666687776644944e-02,-6.250000296859070659e-05
1.500000022351741756e-02,-6.520000169984996319e-05
1.583333356926838395e-02,-6.779999966965988278e-05
1.666666691501935207e-02,-7.029999687802046537e-05
1.750000026077032020e-02,-7.270000060088932514e-05
1.833333360652128832e-02,-7.509999704780057073e-05
1.916666695227225645e-02,-7.740000000922009349e-05
2.000000029802322457e-02,-7.960000220919027925e-05
2.083333364377419269e-02,-8.179999713320285082e-05
2.166666698952516082e-02,-8.399999933317303658e-05
2.250000033527612547e-02,-8.620000153314322233e-05
2.333333368102709360e-02,-8.830000297166407108e-05
2.416666702677806172e-02,-9.049999789567664266e-05
2.500000037252902985e-02,-9.259999933419749141e-05
2.583333371827999797e-02,-9.480000153416767716e-05
2.666666706403096609e-02,-9.709999721962958574e-05
2.750000040978193422e-02,-9.929999941959977150e-05
2.833333375553289887e-02,-1.016000023810192943e-04
2.916666710128386700e-02,-1.038999980664812028e-04
3.000000044703483512e-02,-1.064000025507993996e-04
3.083333379278580325e-02,-1.087999989977106452e-04
3.166666713853676790e-02,-1.113999969675205648e-04
3.250000048428773602e-02,-1.140000022132880986e-04
3.333333383003870415e-02,-1.168000017059966922e-04
3.416666717578967227e-02,-1.196000011987052858e-04
3.500000052154064040e-02,-1.225000014528632164e-04
3.583333386729160852e-02,-1.255999959539622068e-04
3.666666721304257665e-02,-1.287000050069764256e-04
3.750000055879354477e-02,-1.320000010309740901e-04
3.833333390454451289e-02,-1.353999978164210916e-04
3.916666725029548102e-02,-1.388999953633174300e-04
4.000000059604644914e-02,-1.424999936716631055e-04
4.083333394179741727e-02,-1.462999935029074550e-04
4.166666728754838539e-02,-1.501999940956011415e-04
4.250000063329935351e-02,-1.542999962111935019e-04
4.333333397905032164e-02,-1.583999983267858624e-04
4.416666732480128282e-02,-1.628000027267262340e-04
4.500000067055225095e-02,-1.672000071266666055e-04
4.583333401630321907e-02,-1.717999984975904226e-04
4.666666736205418720e-02,-1.766000059433281422e-04
4.750000070780515532e-02,-1.813999988371506333e-04
4.833333405355612344e-02,-1.864999940153211355e-04
4.916666739930709157e-02,-1.916000037454068661e-04
5.000000074505805969e-02,-1.967999996850267053e-04
5.083333409080902782e-02,-2.021999971475452185e-04
5.166666743655999594e-02,-2.076999953715130687e-04
5.250000078231096406e-02,-2.132999943569302559e-04
5.333333412806193219e-02,-2.189999941037967801e-04
5.416666747381290031e-02,-2.248999953735619783e-04
5.500000081956386844e-02,-2.307999966433271766e-04
5.583333416531483656e-02,-2.367999986745417118e-04
5.666666751106579775e-02,-2.430000022286549211e-04
5.750000085681676587e-02,-2.493000065442174673e-04
5.833333420256773399e-02,-2.555999963078647852e-04
5.916666754831870212e-02,-2.619999868329614401e-04
6.000000089406967024e-02,-2.685000072233378887e-04
6.083333423982063837e-02,-2.750999992713332176e-04
6.166666758557160649e-02,-2.817999920807778835e-04
6.250000093132257462e-02,-2.885000139940530062e-04
6.333333427707353580e-02,-2.952000068034976721e-04
6.416666762282451086e-02,-3.020000003743916750e-04
6.500000096857547205e-02,-3.088999947067350149e-04
6.583333431432644711e-02,-3.157999890390783548e-04
6.666666766007740830e-02,-3.226000117138028145e-04
6.750000100582838336e-02,-3.296000068075954914e-04
6.833333435157934455e-02,-3.365000011399388313e-04
6.916666769733031961e-02,-3.433999954722821712e-04
7.000000104308128079e-02,-3.502999898046255112e-04
7.083333438883225586e-02,-3.571000124793499708e-04
7.166666773458321704e-02,-3.640000068116933107e-04
7.250000108033419211e-02,-3.708000003825873137e-04
7.333333442608515329e-02,-3.774999931920319796e-04
7.416666777183612835e-02,-3.842999867629259825e-04
7.500000111758708954e-02,-3.909000079147517681e-04
7.583333446333805072e-02,-3.976000007241964340e-04
7.666666780908902579e-02,-4.040999920107424259e-04
7.750000115483998697e-02,-4.106000124011188745e-04
7.833333450059096204e-02,-4.171000036876648664e-04
7.916666784634192322e-02,-4.233999934513121843e-04
8.000000119209289828e-02,-4.297000123187899590e-04
8.083333453784385947e-02,-4.359000013209879398e-04
8.166666788359483453e-02,-4.419999895617365837e-04
8.250000122934579572e-02,-4.480000061448663473e-04
8.333333457509677078e-02,-4.538999928627163172e-04
8.416666792084773197e-02,-4.597000079229474068e-04
8.500000126659870703e-02,-4.653999931178987026e-04
8.583333461234966821e-02,-4.710000066552311182e-04
8.666666795810064328e-02,-4.763999895658344030e-04
8.750000130385160446e-02,-4.818000015802681446e-04
8.833333464960256565e-02,-4.870000120718032122e-04
8.916666799535354071e-02,-4.922000225633382797e-04
9.000000134110450190e-02,-4.972000024281442165e-04
9.083333468685547696e-02,-5.020999815315008163e-04
9.166666803260643814e-02,-5.069000180810689926e-04
9.250000137835741321e-02,-5.115999956615269184e-04
9.333333472410837439e-02,-5.161999724805355072e-04
9.416666806985934945e-02,-5.207000067457556725e-04
9.500000141561031064e-02,-5.250999820418655872e-04
9.583333476136128570e-02,-5.294000147841870785e-04
9.666666810711224689e-02,-5.335999885573983192e-04
9.750000145286322195e-02,-5.377000197768211365e-04
9.833333479861418314e-02,-5.417999927885830402e-04
9.916666814436515820e-02,-5.457000224851071835e-04
1.000000014901161194e-01,-5.495999939739704132e-04
1.008333348358670806e-01,-5.534000229090452194e-04
1.016666681816180556e-01,-5.571999936364591122e-04
1.025000015273690168e-01,-5.608000210486352444e-04
1.033333348731199919e-01,-5.644999910145998001e-04
1.041666682188709531e-01,-5.680000176653265953e-04
1.050000015646219281e-01,-5.714999861083924770e-04
1.058333349103728893e-01,-5.750000127591192722e-04
1.066666682561238644e-01,-5.784999812021851540e-04
1.075000016018748256e-01,-5.819000070914626122e-04
1.083333349476258006e-01,-5.851999740116298199e-04
1.091666682933767618e-01,-5.885999999009072781e-04
1.100000016391277369e-01,-5.920000257901847363e-04
1.108333349848786981e-01,-5.952999927103519440e-04
1.116666683306296731e-01,-5.987000185996294022e-04
1.125000016763806343e-01,-6.020999862812459469e-04
1.133333350221315955e-01,-6.055000121705234051e-04
1.141666683678825706e-01,-6.088999798521399498e-04
1.150000017136335317e-01,-6.123000057414174080e-04
1.158333350593845068e-01,-6.156999734230339527e-04
1.166666684051354680e-01,-6.192000000737607479e-04
1.175000017508864431e-01,-6.227000267244875431e-04
1.183333350966374042e-01,-6.261999951675534248e-04
1.191666684423883793e-01,-6.298000225797295570e-04
1.200000017881393405e-01,-6.334999925456941128e-04
1.208333351338903155e-01,-6.371000199578702450e-04
1.216666684796412767e-01,-6.408999906852841377e-04
1.225000018253922518e-01,-6.446000188589096069e-04
1.233333351711432130e-01,-6.484999903477728367e-04
1.241666685168941880e-01,-6.524000200442969799e-04
1.250000018626451492e-01,-6.563999922946095467e-04
1.258333352083961243e-01,-6.604000227525830269e-04
1.266666685541470716e-01,-6.644999957643449306e-04
1.275000018998980467e-01,-6.687000277452170849e-04
1.283333352456490217e-01,-6.729000015184283257e-04
1.291666685913999968e-01,-6.772999768145382404e-04
1.300000019371509441e-01,-6.817000103183090687e-04
1.308333352829019192e-01,-6.861999863758683205e-04
1.316666686286528942e-01,-6.907000206410884857e-04
1.325000019744038693e-01,-6.953999982215464115e-04
1.333333353201548166e-01,-7.000999758020043373e-04
1.341666686659057917e-01,-7.049000123515725136e-04
1.350000020116567667e-01,-7.096999906934797764e-04
1.358333353574077418e-01,-7.146000280044972897e-04
1.366666687031586891e-01,-7.196000078693032265e-04
1.375000020489096642e-01,-7.245999877341091633e-04
1.383333353946606392e-01,-7.296000258065760136e-04
1.391666687404115865e-01,-7.348000071942806244e-04
1.400000020861625616e-01,-7.398999878205358982e-04
1.408333354319135367e-01,-7.451000274159014225e-04
1.416666687776645117e-01,-7.504000095650553703e-04
1.425000021234154590e-01,-7.555999909527599812e-04
1.433333354691664341e-01,-7.608999731019139290e-04
1.441666688149174091e-01,-7.662000134587287903e-04
1.450000021606683842e-01,-7.715999963693320751e-04
1.458333355064193315e-01,-7.768999785184860229e-04
1.466666688521703066e-01,-7.822000188753008842e-04
1.475000021979212816e-01,-7.875000010244548321e-04
1.483333355436722567e-01,-7.928999839350581169e-04
1.491666688894232040e-01,-7.981000235304236412e-04
1.500000022351741791e-01,-8.034000056795775890e-04
1.508333355809251541e-01,-8.085999870672821999e-04
1.516666689266761014e-01,-8.138000266626477242e-04
1.525000022724270765e-01,-8.189000072889029980e-04
1.533333356181780516e-01,-8.238999871537089348e-04
1.541666689639290266e-01,-8.289000252261757851e-04
1.550000023096799739e-01,-8.337000035680830479e-04
1.558333356554309490e-01,-8.384999819099903107e-04
1.566666690011819241e-01,-8.432000176981091499e-04
1.575000023469328991e-01,-8.476999937556684017e-04
1.583333356926838464e-01,-8.522000280208885670e-04
1.591666690384348215e-01,-8.565000025555491447e-04
1.600000023841857966e-01,-8.606999763287603855e-04
1.608333357299367716e-01,-8.647000067867338657e-04
1.616666690756877189e-01,-8.685999782755970955e-04
1.625000024214386940e-01,-8.723000064492225647e-04
1.633333357671896691e-01,-8.758999756537377834e-04
1.641666691129406164e-01,-8.793000015430152416e-04
1.650000024586915914e-01,-8.826000266708433628e-04
1.658333358044425665e-01,-8.856999920681118965e-04
1.666666691501935416e-01,-8.886000141501426697e-04
1.675000024959444889e-01,-8.913999772630631924e-04
1.683333358416954639e-01,-8.939999970607459545e-04
1.691666691874464390e-01,-8.965000160969793797e-04
1.700000025331974141e-01,-8.986999746412038803e-04
1.708333358789483614e-01,-9.008999913930892944e-04
1.716666692246993364e-01,-9.029000066220760345e-04
1.725000025704503115e-01,-9.047000203281641006e-04
1.733333359162012866e-01,-9.063999750651419163e-04
1.741666692619522339e-01,-9.079999872483313084e-04
1.750000026077032089e-01,-9.093999979086220264e-04
1.758333359534541840e-01,-9.107000078074634075e-04
1.766666692992051313e-01,-9.119000169448554516e-04
1.775000026449561064e-01,-9.129000245593488216e-04
1.783333359907070814e-01,-9.138999739661812782e-04
1.791666693364580565e-01,-9.147999808192253113e-04
1.800000026822090038e-01,-9.155999869108200073e-04
1.808333360279599789e-01,-9.162999922409653664e-04
1.816666693737109539e-01,-9.169999975711107254e-04
1.825000027194619290e-01,-9.176000021398067474e-04
1.833333360652128763e-01,-9.182000067085027695e-04
1.841666694109638513e-01,-9.187000105157494545e-04
1.850000027567148264e-01,-9.192000143229961395e-04
1.858333361024658015e-01,-9.197000181302428246e-04
1.866666694482167488e-01,-9.202000219374895096e-04
1.875000027939677238e-01,-9.208000265061855316e-04
1.883333361397186989e-01,-9.212999721057713032e-04
1.891666694854696462e-01,-9.217999759130179882e-04
1.900000028312206213e-01,-9.223999804817140102e-04
1.908333361769715963e-01,-9.230999858118593693e-04
1.916666695227225714e-01,-9.237999911420047283e-04
1.925000028684735187e-01,-9.244999964721500874e-04
1.933333362142244938e-01,-9.254000033251941204e-04
1.941666695599754688e-01,-9.263000101782381535e-04
1.950000029057264439e-01,-9.272000170312821865e-04
1.958333362514773912e-01,-9.283000254072248936e-04
1.966666695972283663e-01,-9.294999763369560242e-04
1.975000029429793413e-01,-9.306999854743480682e-04
1.983333362887303164e-01,-9.319999953731894493e-04
1.991666696344812637e-01,-9.334000060334801674e-04
2.000000029802322388e-01,-9.348000166937708855e-04
2.008333363259832138e-01,-9.364000288769602776e-04
2.016666696717341611e-01,-9.379999828524887562e-04
2.025000030174851362e-01,-9.397999965585768223e-04
2.033333363632361113e-01,-9.416000102646648884e-04
2.041666697089870863e-01,-9.435000247322022915e-04
2.050000030547380336e-01,-9.454999817535281181e-04
2.058333364004890087e-01,-9.474999969825148582e-04
2.066666697462399838e-01,-9.497000137344002724e-04
2.075000030919909588e-01,-9.518999722786247730e-04
2.083333364377419061e-01,-9.541999897919595242e-04
2.091666697834928812e-01,-9.565000073052942753e-04
2.100000031292438563e-01,-9.589000255800783634e-04
2.108333364749948313e-01,-9.613999864086508751e-04
2.116666698207457786e-01,-9.639000054448843002e-04
2.125000031664967537e-01,-9.664000244811177254e-04
2.133333365122477288e-01,-9.690999868325889111e-04
2.141666698579986761e-01,-9.717000066302716732e-04
2.150000032037496511e-01,-9.745000279508531094e-04
2.158333365495006262e-01,-9.771999903023242950e-04
2.166666698952516013e-01,-9.800000116229057312e-04
2.175000032410025486e-01,-9.828000329434871674e-04
2.183333365867535236e-01,-9.857000550255179405e-04
2.191666699325044987e-01,-9.884999599307775497e-04
2.200000032782554737e-01,-9.913999820128083229e-04
2.208333366240064211e-01,-9.943000040948390961e-04
2.216666699697573961e-01,-9.972000261768698692e-04
2.225000033155083712e-01,-1.000200049020349979e-03
2.233333366612593462e-01,-1.003099954687058926e-03
2.241666700070102936e-01,-1.006099977530539036e-03
2.250000033527612686e-01,-1.009100000374019146e-03
2.258333366985122437e-01,-1.012100023217499256e-03
2.266666700442631910e-01,-1.015100046060979366e-03
2.275000033900141660e-01,-1.018099952489137650e-03
2.283333367357651411e-01,-1.021199976094067097e-03
2.291666700815161162e-01,-1.024199998937547207e-03
2.300000034272670635e-01,-1.027300022542476654e-03
2.308333367730180385e-01,-1.030400046147406101e-03
2.316666701187690136e-01,-1.033499953337013721e-03
2.325000034645199887e-01,-1.036599976941943169e-03
2.333333368102709360e-01,-1.039800001308321953e-03
2.341666701560219110e-01,-1.042900024913251400e-03
2.350000035017728861e-01,-1.046100049279630184e-03
2.358333368475238612e-01,-1.049299957230687141e-03
2.366666701932748085e-01,-1.052599982358515263e-03
2.375000035390257835e-01,-1.055900007486343384e-03
2.383333368847767586e-01,-1.059200032614171505e-03
2.391666702305277059e-01,-1.062500057741999626e-03
2.400000035762786810e-01,-1.065799966454505920e-03
2.408333369220296560e-01,-1.069199992343783379e-03
2.416666702677806311e-01,-1.072600018233060837e-03
2.425000036135315784e-01,-1.076100044883787632e-03
2.433333369592825535e-01,-1.079599955119192600e-03
2.441666703050335285e-01,-1.083099981769919395e-03
2.450000036507845036e-01,-1.086600008420646191e-03
2.458333369965354509e-01,-1.090200035832822323e-03
2.466666703422864260e-01,-1.093899947591125965e-03
2.475000036880374010e-01,-1.097599975764751434e-03
2.483333370337883761e-01,-1.101300003938376904e-03
2.491666703795393234e-01,-1.105100032873451710e-03
2.500000037252902985e-01,-1.108899945393204689e-03
2.508333370710412735e-01,-1.112699974328279495e-03
2.516666704167922486e-01,-1.116700004786252975e-03
2.525000037625432237e-01,-1.120600034482777119e-03
2.533333371082941432e-01,-1.124599948525428772e-03
2.541666704540451183e-01,-1.128599978983402252e-03
2.550000037997960933e-01,-1.132600009441375732e-03
2.558333371455470684e-01,-1.136700040660798550e-03
2.566666704912980435e-01,-1.140799955464899540e-03
2.575000038370490185e-01,-1.144899986684322357e-03
2.583333371827999936e-01,-1.149000017903745174e-03
2.591666705285509686e-01,-1.153100049123167992e-03
2.600000038743018882e-01,-1.157299964688718319e-03
2.608333372200528633e-01,-1.161499996669590473e-03
2.616666705658038383e-01,-1.165600027889013290e-03
2.625000039115548134e-01,-1.169799943454563618e-03
2.633333372573057884e-01,-1.173899974673986435e-03
2.641666706030567635e-01,-1.178000005893409252e-03
2.650000039488077386e-01,-1.182100037112832069e-03
2.658333372945586581e-01,-1.186199951916933060e-03
2.666666706403096332e-01,-1.190299983136355877e-03
2.675000039860606083e-01,-1.194300013594329357e-03
2.683333373318115833e-01,-1.198300044052302837e-03
2.691666706775625584e-01,-1.202299958094954491e-03
2.700000040233135334e-01,-1.206199987791478634e-03
2.708333373690645085e-01,-1.210000016726553440e-03
2.716666707148154836e-01,-1.213800045661628246e-03
2.725000040605664031e-01,-1.217599958181381226e-03
2.733333374063173782e-01,-1.221299986355006695e-03
2.741666707520683532e-01,-1.224800013005733490e-03
