index,t_start_min,t_end_min,rt_min,apex_intensity,area,pct_area,measure_value
1,2.4642,2.6825,2.5133,0.0878456011414528,0.0054969,1.617,0.0054969
2,3.1633,3.2283,3.1967,0.0027014000806957483,9.94898e-05,0.029,9.94898e-05
3,8.6350,9.8150,8.8733,1.5765708684921265,0.328011,96.513,0.328011
4,16.0042,16.1200,16.0583,0.0007474999874830246,5.10544e-05,0.015,5.10544e-05
5,18.3725,18.4392,18.4058,0.00023799999326001847,9.2555e-06,0.003,9.2555e-06
6,18.9642,19.0600,19.0117,0.0004875999875366688,2.77227e-05,0.008,2.77227e-05
7,21.8400,22.0758,21.9517,0.056610699743032455,0.00580501,1.708,0.00580501
8,23.8225,23.9500,23.8808,0.004993699956685305,0.000360927,0.106,0.000360927
