time_AU,intensity,intensity_smoothed
0.0,0.0,0.0
0.0008333333457509677,0.0,0.0
0.0016666666915019352,-4.999999873689376e-06,-4.999999873689376e-06
0.002500000037252903,-9.999999747378752e-06,-9.999999747378752e-06
0.0033333333830038708,-1.4799999917158855e-05,-1.4799999917158855e-05
0.004166666728754838,-1.9400000383029692e-05,-1.9400000383029692e-05
0.005000000074505806,-2.3900000087451186e-05,-2.3900000087451186e-05
0.005833333420256773,-2.8200000087963417e-05,-2.8200000087963417e-05
0.0066666667660077415,-3.229999856557697e-05,-3.229999856557697e-05
0.007500000111758709,-3.619999915827066e-05,-3.619999915827066e-05
0.008333333457509676,-3.9999998989515007e-05,-3.9999998989515007e-05
0.009166666803260644,-4.3700001697288826e-05,-4.3700001697288826e-05
0.010000000149011612,-4.709999848273582e-05,-4.709999848273582e-05
0.01083333349476258,-5.049999890616163e-05,-5.049999890616163e-05
0.011666666840513547,-5.370000144466758e-05,-5.370000144466758e-05
0.012500000186264513,-5.669999882229604e-05,-5.669999882229604e-05
0.013333333532015485,-5.9699999837903306e-05,-5.9699999837903306e-05
0.014166666877766448,-6.25000029685907e-05,-6.25000029685907e-05
0.015000000223517416,-6.520000169984996e-05,-6.520000169984996e-05
0.015833333569268384,-6.779999966965988e-05,-6.779999966965988e-05
0.016666666915019352,-7.029999687802047e-05,-7.029999687802047e-05
0.01750000026077032,-7.270000060088933e-05,-7.270000060088933e-05
0.01833333360652129,-7.509999704780057e-05,-7.509999704780057e-05
0.019166666952272256,-7.74000000092201e-05,-7.74000000092201e-05
0.020000000298023225,-7.960000220919027e-05,-7.960000220919027e-05
0.020833333643774193,-8.179999713320285e-05,-8.179999713320285e-05
0.02166666698952516,-8.399999933317304e-05,-8.399999933317304e-05
0.022500000335276125,-8.620000153314322e-05,-8.620000153314322e-05
0.023333333681027094,-8.830000297166406e-05,-8.830000297166406e-05
0.02416666702677806,-9.049999789567664e-05,-9.049999789567664e-05
0.025000000372529026,-9.259999933419749e-05,-9.259999933419749e-05
0.025833333718279995,-9.480000153416768e-05,-9.480000153416768e-05
0.02666666706403097,-9.709999721962959e-05,-9.709999721962959e-05
0.027500000409781938,-9.929999941959976e-05,-9.929999941959976e-05
0.028333333755532895,-0.00010160000238101928,-0.00010160000238101928
0.029166667101283867,-0.0001038999980664812,-0.0001038999980664812
0.030000000447034835,-0.0001064000025507994,-0.0001064000025507994
0.030833333792785803,-0.00010879999899771065,-0.00010879999899771065
0.03166666713853677,-0.00011139999696752056,-0.00011139999696752056
0.032500000484287736,-0.00011400000221328809,-0.00011400000221328809
0.033333333830038704,-0.00011680000170599668,-0.00011680000170599668
0.03416666717578967,-0.00011960000119870529,-0.00011960000119870529
0.03500000052154064,-0.0001225000014528632,-0.0001225000014528632
0.03583333386729161,-0.0001255999959539622,-0.0001255999959539622
0.03666666721304258,-0.00012870000500697643,-0.00012870000500697643
0.037500000558793545,-0.0001320000010309741,-0.0001320000010309741
0.03833333390454451,-0.0001353999978164211,-0.0001353999978164211
0.03916666725029548,-0.00013889999536331743,-0.00013889999536331743
0.04000000059604645,-0.0001424999936716631,-0.0001424999936716631
0.04083333394179742,-0.00014629999350290743,-0.00014629999350290743
0.041666667287548385,-0.00015019999409560114,-0.00015019999409560114
0.042500000633299354,-0.0001542999962111935,-0.0001542999962111935
0.04333333397905032,-0.00015839999832678586,-0.00015839999832678586
0.04416666732480128,-0.00016280000272672623,-0.00016280000272672623
0.04500000067055225,-0.0001672000071266666,-0.0001672000071266666
0.04583333401630322,-0.00017179999849759042,-0.00017179999849759042
0.04666666736205419,-0.00017660000594332814,-0.00017660000594332814
0.047500000707805155,-0.00018139999883715063,-0.00018139999883715063
0.04833333405355612,-0.0001864999940153211,-0.0001864999940153211
0.049166667399307085,-0.0001916000037454069,-0.0001916000037454069
0.05000000074505805,-0.00019679999968502673,-0.00019679999968502673
0.05083333409080902,-0.0002021999971475452,-0.0002021999971475452
0.05166666743655999,-0.00020769999537151304,-0.00020769999537151304
0.05250000078231096,-0.00021329999435693023,-0.00021329999435693023
0.05333333412806194,-0.0002189999941037968,-0.0002189999941037968
0.05416666747381289,-0.00022489999537356195,-0.00022489999537356195
0.055000000819563875,-0.00023079999664332715,-0.00023079999664332715
0.05583333416531483,-0.0002367999986745417,-0.0002367999986745417
0.0566666675110658,-0.00024300000222865492,-0.00024300000222865492
0.057500000856816766,-0.0002493000065442174,-0.0002493000065442174
0.058333334202567734,-0.0002555999963078648,-0.0002555999963078648
0.0591666675483187,-0.00026199998683296144,-0.00026199998683296144
0.06000000089406967,-0.0002685000072233379,-0.0002685000072233379
0.06083333423982064,-0.0002750999992713332,-0.0002750999992713332
0.061666667585571606,-0.0002817999920807779,-0.0002817999920807779
0.06250000093132257,-0.000288500013994053,-0.000288500013994053
0.06333333427707354,-0.00029520000680349767,-0.00029520000680349767
0.06416666762282451,-0.0003020000003743917,-0.0003020000003743917
0.06500000096857547,-0.000308899994706735,-0.000308899994706735
0.06583333431432645,-0.00031579998903907835,-0.00031579998903907835
0.06666666766007741,-0.0003226000117138028,-0.0003226000117138028
0.06750000100582838,-0.0003296000068075955,-0.0003296000068075955
0.06833333435157934,-0.00033650000113993883,-0.00033650000113993883
0.06916666769733032,-0.00034339999547228217,-0.00034339999547228217
0.07000000104308128,-0.0003502999898046255,-0.0003502999898046255
0.07083333438883226,-0.00035710001247934997,-0.00035710001247934997
0.07166666773458322,-0.00036400000681169326,-0.00036400000681169326
0.07250000108033419,-0.00037080000038258726,-0.00037080000038258726
0.07333333442608515,-0.000377499993192032,-0.000377499993192032
0.07416666777183613,-0.000384299986762926,-0.000384299986762926
0.07500000111758709,-0.00039090000791475177,-0.00039090000791475177
0.07583333446333805,-0.0003976000007241964,-0.0003976000007241964
0.07666666780908903,-0.0004040999920107424,-0.0004040999920107424
0.07750000115483999,-0.0004106000124011189,-0.0004106000124011189
0.07833333450059096,-0.00041710000368766487,-0.00041710000368766487
0.07916666784634192,-0.0004233999934513122,-0.0004233999934513122
0.0800000011920929,-0.0004297000123187899,-0.0004297000123187899
0.08083333453784386,-0.00043590000132098794,-0.00043590000132098794
0.08166666788359483,-0.0004419999895617366,-0.0004419999895617366
0.0825000012293458,-0.0004480000061448663,-0.0004480000061448663
0.08333333457509677,-0.0004538999928627163,-0.0004538999928627163
0.08416666792084773,-0.00045970000792294735,-0.00045970000792294735
0.08500000126659871,-0.0004653999931178987,-0.0004653999931178987
0.08583333461234967,-0.0004710000066552311,-0.0004710000066552311
0.08666666795810064,-0.0004763999895658344,-0.0004763999895658344
0.0875000013038516,-0.00048180000158026814,-0.00048180000158026814
