index,t_start_min,t_end_min,rt_min,apex_intensity,area,pct_area,measure_value
1,2.4667,2.6633,2.5167,0.08633500337600707,0.00572416,1.732,0.00572416
2,3.1608,3.2250,3.1933,0.0025553000159561634,9.3756e-05,0.028,9.3756e-05
3,8.6592,9.7125,8.8967,1.5544660091400146,0.318354,96.344,0.318354
4,15.9808,16.0992,16.0375,0.0007028999971225858,5.05337e-05,0.015,5.05337e-05
5,16.3567,16.5150,16.4333,0.0019394999835640192,0.000173838,0.053,0.000173838
6,18.3492,18.4242,18.3842,0.00023429999419022352,1.04548e-05,0.003,1.04548e-05
7,18.9575,19.0250,18.9908,0.0002694999857340008,1.05436e-05,0.003,1.05436e-05
8,21.8225,22.0567,21.9342,0.05544399842619896,0.00564374,1.708,0.00564374
9,23.8058,23.9367,23.8658,0.0050790999084711075,0.000372664,0.113,0.000372664
