index,t_start_min,t_end_min,rt_min,apex_intensity,area,pct_area,measure_value
1,2.4650,2.6633,2.5150,0.09006579965353011,0.00560866,1.640,0.00560866
2,3.1600,3.2275,3.1950,0.0027552000246942043,0.000105193,0.031,0.000105193
3,8.6725,9.7333,8.9083,1.6011401414871216,0.329869,96.481,0.329869
4,16.0117,16.1192,16.0625,0.0006275000050663948,4.06119e-05,0.012,4.06119e-05
5,16.4033,16.5108,16.4558,0.000673400005325675,4.23891e-05,0.012,4.23891e-05
6,18.3992,18.4283,18.4142,2.4499999199179e-05,3.69833e-07,0.000,3.69833e-07
7,18.9800,19.0500,19.0158,0.0003000000142492354,1.20998e-05,0.004,1.20998e-05
8,21.8425,22.0767,21.9525,0.057979900389909744,0.00587521,1.718,0.00587521
9,23.8233,23.9492,23.8808,0.004860099870711565,0.000346965,0.101,0.000346965
