index,t_start_min,t_end_min,rt_min,apex_intensity,area,pct_area,measure_value
1,2.4650,2.6817,2.5133,0.0878456011414528,0.00549687,1.618,0.00549687
2,8.6358,9.8133,8.8725,1.5766197443008423,0.328011,96.541,0.328011
3,16.0050,16.1183,16.0583,0.0007474999874830246,5.10544e-05,0.015,5.10544e-05
4,18.3733,18.4375,18.4058,0.00023799999326001847,9.2555e-06,0.003,9.2555e-06
5,18.9650,19.0583,19.0117,0.0004875999875366688,2.77227e-05,0.008,2.77227e-05
6,21.8408,22.0742,21.9517,0.056610699743032455,0.00580501,1.709,0.00580501
7,23.8233,23.9483,23.8808,0.004993699956685305,0.000360927,0.106,0.000360927
